title,artist,link
Portrait of a Seated Man in a Cap (1960),Kenneth Muir,https://collections.ed.ac.uk/art/record/20983?highlight=*:*
On Italian Balcony,Muriel Davidson,https://collections.ed.ac.uk/art/record/53477?highlight=*:*
Landscape (possibly),Donald Clark,https://collections.ed.ac.uk/art/record/21487?highlight=*:*
Jug (1920s),Emma Gillies,https://collections.ed.ac.uk/art/record/53741?highlight=*:*
Hare (1920s),Emma Gillies,https://collections.ed.ac.uk/art/record/122127?highlight=*:*
Standing Male Nude (1959),James C. Y. Gavin,https://collections.ed.ac.uk/art/record/20877?highlight=*:*
Self Portrait (1992),Victoria A. James,https://collections.ed.ac.uk/art/record/22742?highlight=*:*
Standing Female Nude,Alastair Fairweather,https://collections.ed.ac.uk/art/record/50424?highlight=*:*
Untitled - Three Figures At the Opera (1963),Ann F Ward,https://collections.ed.ac.uk/art/record/99344?highlight=*:*
Untitled (1962),Ethel V Hope,https://collections.ed.ac.uk/art/record/99836?highlight=*:*
Still Life with Drapes (1966),James H. Fairgrieve,https://collections.ed.ac.uk/art/record/22651?highlight=*:*
Green and Red Still Life,Jacqueline A. Waterson,https://collections.ed.ac.uk/art/record/122814?highlight=*:*
Winter Fence (1977),Alfons Bytautas,https://collections.ed.ac.uk/art/record/21549?highlight=*:*
untitled (1984),David Hosie,https://collections.ed.ac.uk/art/record/112340?highlight=*:*
Untitled (1967),Ian Roy,https://collections.ed.ac.uk/art/record/21757?highlight=*:*
Untitled (1963),Janette Brown,https://collections.ed.ac.uk/art/record/22008?highlight=*:*
Untitled - Portrait of a Nude Female (1972),Lindsay R S Gordon,https://collections.ed.ac.uk/art/record/99421?highlight=*:*
Composition with Sinking Ship and Lightbulb (1986),David Hosie,https://collections.ed.ac.uk/art/record/99529?highlight=*:*
Portrait of a Woman at a Table (1960),Dorothea Brown,https://collections.ed.ac.uk/art/record/20995?highlight=*:*
Circus (1950),Cecile E M Johnston,https://collections.ed.ac.uk/art/record/21027?highlight=*:*
Sitting Nude Woman (Circa 1975),Fiona G. Robertson,https://collections.ed.ac.uk/art/record/123342?highlight=*:*
Untitled - Abstract Bridge and Ballons (1968),Alastair Burns,https://collections.ed.ac.uk/art/record/99474?highlight=*:*
Study for completed image (1960),Vivien Alexander,https://collections.ed.ac.uk/art/record/50625?highlight=*:*
Untitled (Unknown),Unknown,https://collections.ed.ac.uk/art/record/21991?highlight=*:*
Untitled (Unknown),David Douglas,https://collections.ed.ac.uk/art/record/21641?highlight=*:*
Life Painting (1918),Anne Redpath,https://collections.ed.ac.uk/art/record/20735?highlight=*:*
Untitled (1969),Richard Easson,https://collections.ed.ac.uk/art/record/99829?highlight=*:*
Untitled (1955),Alan Bartram,https://collections.ed.ac.uk/art/record/99827?highlight=*:*
Nude Male and Horse (Circa 1963),Leon Francesco Morrocco,https://collections.ed.ac.uk/art/record/21399?highlight=*:*
Portrait of a Young Man (1951),James P W Syme,https://collections.ed.ac.uk/art/record/21240?highlight=*:*
Standing Male Nude (1958),Andrew P. W. Conkie,https://collections.ed.ac.uk/art/record/22716?highlight=*:*
Plate,Emma Gillies,https://collections.ed.ac.uk/art/record/53719?highlight=*:*
Seated Female Nude (1939),Heather Measham,https://collections.ed.ac.uk/art/record/21136?highlight=*:*
Seated Nude (1957),Ruth Illingworth,https://collections.ed.ac.uk/art/record/20933?highlight=*:*
